Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Friday, September 5, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,All,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Isolation 231,Avg. LOS: 32,12,A0058819858,Fiona,Cat,Domestic Shorthair,1y 2m 4d,Black/,N,Y,Return/Owned 30 Days or Less - OTC!,F,Hold - Doc,Cat Isolation 231,DRAGONFLY,941010004179868,Cat,,7/1/2024 12:00:00 AM,,,Y,8/22/2025 8:46 AM,14.30,PLAN? - DR NOTES TO FOLLOW,Cage 2,5.20 pound,No,,3,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0059296414,Wayne,Cat,Domestic Shorthair,3m 1d,Black/,N,N,Stray/No Hold,M,Hold - Behavior,Cat Isolation 231,,941010004633427,Cat,Mix,6/4/2025 12:00:00 AM,,,Y,9/4/2025 12:55 PM,1.10,med clear for adoption,Cage 3,3.75 pound,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0059296421,Garth,Cat,Domestic Shorthair,3m 1d,Black/,N,N,Stray/No Hold,M,Hold - Behavior,Cat Isolation 231,,941010004484719,Cat,Mix,6/4/2025 12:00:00 AM,,,Y,9/4/2025 12:55 PM,1.10,med clear for adoption,Cage 3,3.50 pound,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058887121,,Cat,Domestic Longhair,2m 20d,Brown/,N,N,Stray/No Hold,M,Hold - Behavior,Cat Isolation 231,,941010004192554,Cat,,6/16/2025 12:00:00 AM,Tabby/,,Y,7/14/2025 11:07 AM,53.10,med clear for adoption,Cage 4,2.50 pound,No,,1,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058887122,,Cat,Domestic Shorthair,2m 20d,Black/White,N,N,Stray/No Hold,M,Hold - Behavior,Cat Isolation 231,,941010004184272,Cat,,6/16/2025 12:00:00 AM,Tuxedo/,,Y,7/14/2025 11:07 AM,53.10,med clear for adoption,Cage 4,3.50 pound,No,,1,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0059269648,AMBROSE,Cat,Domestic Shorthair,1y 6d,Grey/,N,N,Stray/OTC,M,Hold - Behavior,Cat Isolation 231,AMBROSE,941010004499434,Cat,,8/30/2024 12:00:00 AM,Tabby/,,Y,8/30/2025 10:56 AM,6.20,"HAS AN ADOPTER, med clear",Cage 5,8.75 pound,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058855018,SPRINGROLL,Cat,Domestic Shorthair,2m 9d,White/Grey,N,N,Stray/No Hold,F,Hold - Behavior,Cat Isolation 231,,941010004486870,Cat,,6/27/2025 12:00:00 AM,,,Y,7/7/2025 10:31 AM,60.20,med clear for adoption,Cage 6,2.20 pound,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0059237171,MISS KITTY,Cat,Domestic Shorthair,15y 11d,Blue/,N,Y,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Cat Isolation 231,,941010004494688,Cat,,8/25/2010 12:00:00 AM,,,Y,8/25/2025 4:50 PM,10.90,,Cage 7,,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058996530,,Cat,Domestic Shorthair,3m 8d,Black/,N,N,Stray/No Hold,F,Hold - Behavior,Cat Isolation 231,,941010004224388,Cat,,5/28/2025 12:00:00 AM,,,Y,7/28/2025 2:45 PM,39.00,med clear for adoption,Cage 8,3.75 pound,No,,1,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058996532,,Cat,Domestic Shorthair,3m 8d,Black/,N,N,Stray/No Hold,F,Hold - Behavior,Cat Isolation 231,,941010004374293,Cat,,5/28/2025 12:00:00 AM,,,Y,7/28/2025 2:45 PM,39.00,med clear for adoption,Cage 8,4.00 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0058896393,,Cat,Domestic Shorthair,1m 27d,Brown/,N,N,Stray/No Hold,M,Hold - Doc,Cat Isolation 232,,,Cat,,7/9/2025 12:00:00 AM,Tabby/,,N,7/12/2025 2:07 PM,55.00,panleuk quarantine,Cage 1,2.00 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0059078408,SONNET,Cat,Domestic Shorthair,1y 6m 27d,Black/Orange,N,N,Stray/OTC,F,Hold - Doc,Cat Isolation 232,,,Cat,,2/9/2024 12:00:00 AM,Tortoiseshell/,,N,8/9/2025 1:34 PM,27.00,panleuk quarantine,Cage 2,6.75 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0059078427,,Cat,Domestic Shorthair,1m 6d,Orange/,N,N,Stray/OTC,M,Hold - Doc,Cat Isolation 232,,,Cat,,7/30/2025 12:00:00 AM,Tabby/,,N,8/9/2025 1:34 PM,27.00,panleuk treatment/quarantine,Cage 2,1.00 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0059078447,,Cat,Domestic Shorthair,1m 6d,Black/Orange,N,N,Stray/OTC,F,Hold - Doc,Cat Isolation 232,,,Cat,,7/30/2025 12:00:00 AM,Tortoiseshell/,,N,8/9/2025 1:34 PM,27.00,panleuk treatment/quarantine,Cage 2,1.00 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0059078458,,Cat,Domestic Shorthair,1m 6d,Blue/Orange,N,N,Stray/OTC,F,Hold - Doc,Cat Isolation 232,,,Cat,,7/30/2025 12:00:00 AM,Tortoiseshell/,,N,8/9/2025 1:34 PM,27.00,panleuk treatment/quarantine,Cage 2,1.00 pound,No,,1,No,,,,,495
  Cat Isolation 232,Avg. LOS: 32,6,A0059078469,,Cat,Domestic Shorthair,1m 6d,Black/,N,N,Stray/OTC,M,Hold - Doc,Cat Isolation 232,,,Cat,,7/30/2025 12:00:00 AM,,,N,8/9/2025 1:34 PM,27.00,panleuk treatment/quarantine,Cage 2,1.25 pound,No,,1,No,,,,,495
  Cat Isolation 234,Avg. LOS: 8,2,A0059270791,BRIOCHE,Cat,Domestic Shorthair,1y 6d,Black/White,N,N,Stray/OTC,F,Hold - Behavior,Cat Isolation 234,,941010004581772,Cat,,8/30/2024 12:00:00 AM,,,Y,8/30/2025 1:36 PM,6.00,med clear for adoption,Cage 4,7.00 pound,No,,1,No,,,,,495
  Cat Isolation 234,Avg. LOS: 8,2,A0059241255,MUM,Cat,Domestic Shorthair,6y 10d,Black/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Doc,Cat Isolation 234,,982126055124162,Cat,,8/26/2019 12:00:00 AM,,,Y,8/27/2025 10:09 AM,9.20,urinary issue,Cage 6,14.30 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059236519,Bo Peep,Cat,Domestic Shorthair,4y 11d,Orange/Black,N,Y,Seized/Signed Over,F,Hold - Doc,Cat Treatment,,941010004609759,Cat,,8/25/2021 12:00:00 AM,Torbie/,,Y,8/25/2025 3:47 PM,11.00,,01 - A,8.20 pound,No,,0,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059295716,,Cat,Domestic Shorthair,1y 5m 30d,Brown/,N,U,Stray/OTC,F,Hold - Stray,Cat Treatment,,,Cat,Mix,3/6/2024 12:00:00 AM,Tabby/,,U,9/4/2025 12:04 PM,1.10,STRAY HOLD,01 - B,5.50 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059255215,STRUDEL,Cat,Domestic Shorthair,3m 8d,Black/,N,N,Stray/No Hold,F,Hold - Doc,Cat Treatment,,,Cat,,5/28/2025 12:00:00 AM,,,N,8/29/2025 8:45 AM,7.30,,03 - B,2.50 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059278495,,Cat,Domestic Longhair,12y 3d,Grey/,N,N,Stray/OTC,F,Hold - Stray,Cat Treatment,,,Cat,,9/2/2013 12:00:00 AM,,,N,9/2/2025 9:14 AM,3.20,,04,6.75 pound,No,,0,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059264173,,Cat,Domestic Shorthair,1m 11d,Orange/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Pending Foster Pickup,Cat Treatment,,941010004608159,Cat,,7/25/2025 12:00:00 AM,Tabby/,,N,8/29/2025 12:30 PM,7.10,,05,14.00 ounce,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059264194,,Cat,Domestic Shorthair,1m 11d,Black/Orange/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Pending Foster Pickup,Cat Treatment,Love Bug,941010004608433,Cat,,7/25/2025 12:00:00 AM,Calico/,,N,8/29/2025 12:30 PM,7.10,10 DAY CHECK,05,1.00 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059264203,,Cat,Domestic Shorthair,1m 11d,Black/Orange/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Pending Foster Pickup,Cat Treatment,,941010004605037,Cat,,7/25/2025 12:00:00 AM,Calico/,,N,8/29/2025 12:30 PM,7.10,,05,1.00 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059264212,,Cat,Domestic Shorthair,1m 11d,Brown/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Pending Foster Pickup,Cat Treatment,,941010004517846,Cat,,7/25/2025 12:00:00 AM,Tabby/,,N,8/29/2025 12:30 PM,7.10,,05,1.00 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059264225,,Cat,Domestic Shorthair,1m 11d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Pending Foster Pickup,Cat Treatment,,941010004513617,Cat,,7/25/2025 12:00:00 AM,,,N,8/29/2025 12:30 PM,7.10,,05,1.00 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059241943,,Cat,Domestic Longhair,2m 2d,White/Orange,N,N,Stray/No Hold,M,Hold - Doc,Cat Treatment,,,Cat,,7/3/2025 12:00:00 AM,,,N,8/26/2025 1:26 PM,10.00,recheck D 9/8,06 - A,2.00 pound,No,,1,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059041041,,Cat,Domestic Shorthair,1m 22d,Black/,N,N,Stray/No Hold,M,Hold - Foster,Cat Treatment,,941010004205463,Cat,Mix,7/14/2025 12:00:00 AM,,,N,8/4/2025 1:21 PM,32.00,,D,13.00 ounce,No,,0,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059215935,Snoozle,Cat,Domestic Shorthair,1m 12d,Brown/White,N,N,Stray/No Hold,M,Hold - Foster,Cat Treatment,,,Cat,,7/24/2025 12:00:00 AM,Tabby/,,N,8/21/2025 4:57 PM,14.90,ok for foster,E,1.25 pound,No,,0,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059226495,ARTEMIS,Cat,Domestic Longhair,1m 10d,White/Grey,N,N,Stray/OTC,F,Hold - Foster,Cat Treatment,,,Cat,Mix,7/26/2025 12:00:00 AM,,,N,8/23/2025 2:02 PM,13.00,ok for foster,E,1.00 pound,No,,0,No,,,,,495
  Cat Treatment,Avg. LOS: 9,14,A0059298822,,Cat,Domestic Shorthair,22d,Black/,N,N,Stray/No Hold,M,Hold - Foster,Cat Treatment,,,Cat,Mix,8/14/2025 12:00:00 AM,Tortoiseshell/,,N,9/4/2025 3:26 PM,1.00,Needs syringe feeding,F,12.00 ounce,No,,0,No,,,,,495
  Dental Area,Avg. LOS: 1,5,A0059299569,Stormy,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 0d,Blue/,N,N,Seized/Protective Custody,F,Hold - Legal Notice,Dental Area,,,Dog,Mix,9/5/2023 12:00:00 AM,Merle/,,N,9/4/2025 4:26 PM,0.90,,Cage 1,50.00 pound,No,,0,No,,,,,495
